id_pedido,id_cliente,razao_social_cliente,cnpj_cliente,representante,cod_produto,desc_produto,quantidade,preco_unitario,valor_total_item,nf,data_emissao_pedido,data_desejada_entrega,data_firmada_original,data_firmada_atual,data_final_entrega,data_nf,data_nf_oficial,data_embarque,data_emb_oficial,tipo_faturamento,transportadora,condicao_pagamento,valor_geral_pedido
11,86078,Jesus,75.218.436/0001-50,Maya Brito,"('28NZFGQ7Z',)",KIT VENTILACAO,4,198.03,792.12,588671,2024-04-07,2024-05-04,2024-05-07,2024-05-07,2024-05-15,2024-04-08,2024-04-08,2024-04-13,2024-04-13,VENDA,Lopes e Filhos TRANSPORTES LTDA,PIX,792.12
12,88009,Machado Moreira Ltda.,70.983.154/0001-26,Caleb Siqueira,"('28NZFGQ7Z',)",KIT VENTILACAO,7,609.85,4268.95,536302,2025-02-27,2025-03-24,2025-04-07,2025-04-07,2025-04-09,2025-03-04,2025-03-04,2025-03-07,2025-03-07,BONIFICACAO,Campos - EI TRANSPORTES LTDA,CARTEIRA A VISTA,4268.95
13,47037,Vasconcelos,19.073.285/0001-19,Yan Cavalcante,"('28NZFGQ7Z',)",KIT VENTILACAO,5,590.16,2950.8,690594,2025-02-05,2025-04-06,2025-04-11,2025-04-11,2025-04-11,2025-02-14,2025-02-14,2025-02-17,2025-02-17,DEVOLUCAO,Azevedo TRANSPORTES LTDA,CARTEIRA A VISTA,2950.8
14,28965,Lopes,71.436.980/0001-18,Ana Vitória da Cunha,"('28NZFGQ7Z',)",KIT VENTILACAO,3,825.21,2475.63,323949,2024-09-03,2024-10-23,2024-11-01,2024-11-01,2024-11-12,2024-09-06,2024-09-06,2024-09-10,2024-09-10,BONIFICACAO,Pires TRANSPORTES LTDA,CARTEIRA A VISTA,2475.63
15,63364,Abreu e Filhos,70.582.146/0001-78,Otto Sá,"('28NZFGQ7Z',)",KIT VENTILACAO,9,112.12,1009.08,585017,2023-07-19,2023-09-08,2023-09-11,2023-09-11,2023-09-17,2023-07-21,2023-07-21,2023-07-26,2023-07-26,DEVOLUCAO,da Mota TRANSPORTES LTDA,CARTEIRA A PRAZO,1009.08
16,38944,Dias S.A.,57.692.403/0001-66,Igor Cunha,"('28NZFGQ7Z',)",KIT VENTILACAO,10,919.12,9191.2,661901,2024-08-20,2024-09-27,2024-10-12,2024-10-12,2024-11-03,2024-08-29,2024-08-29,2024-08-31,2024-08-31,AMOSTRA,Oliveira TRANSPORTES LTDA,CARTAO DE CREDITO,9191.2
17,41119,Cunha S.A.,09.637.185/0001-14,Rafaela Almeida,"('28NZFGQ7Z',)",KIT VENTILACAO,7,761.0,5327.0,605215,2024-11-09,2024-12-03,2024-12-03,2024-12-03,2024-12-24,2024-11-14,2024-11-14,2024-11-19,2024-11-19,BONIFICACAO,Pires Fogaça - EI TRANSPORTES LTDA,TRANSFERENCIA,5327.0
18,50627,Rodrigues da Mota - ME,73.124.685/0001-51,Laura Novais,"('28NZFGQ7Z',)",KIT VENTILACAO,7,910.58,6374.06,829258,2024-05-07,2024-05-20,2024-06-03,2024-06-03,2024-06-16,2024-05-15,2024-05-15,2024-05-18,2024-05-18,DEVOLUCAO,Nunes Sousa Ltda. TRANSPORTES LTDA,TRANSFERENCIA,6374.06
19,52212,da Mota Almeida - EI,51.630.248/0001-77,Maria Julia Andrade,"('28NZFGQ7Z',)",KIT VENTILACAO,2,778.43,1556.86,386019,2024-06-27,2024-08-21,2024-09-03,2024-09-03,2024-09-10,2024-07-06,2024-07-06,2024-07-09,2024-07-09,BONIFICACAO,Ribeiro TRANSPORTES LTDA,CARTEIRA A VISTA,1556.86
20,59198,das Neves,59.461.083/0001-69,Dra. Ana Liz Moura,"('28NZFGQ7Z',)",KIT VENTILACAO,7,223.68,1565.76,538183,2025-06-12,2025-07-29,2025-08-09,2025-08-09,2025-08-12,2025-06-21,2025-06-21,2025-06-26,2025-06-26,AMOSTRA,Azevedo Ltda. TRANSPORTES LTDA,BOLETO DESCONTADO,1565.76
21,82068,Brito Rodrigues - EI,79.548.320/0001-30,Jade Caldeira,"('28NZFGQ7Z',)",KIT VENTILACAO,4,950.79,3803.16,761091,2023-07-27,2023-08-07,2023-08-08,2023-08-08,2023-09-02,2023-08-01,2023-08-01,2023-08-06,2023-08-06,BONIFICACAO,Rezende TRANSPORTES LTDA,CARTAO DE CREDITO,3803.16
22,42924,Teixeira Ferreira - ME,84.571.206/0001-61,Sara Oliveira,"('28NZFGQ7Z',)",KIT VENTILACAO,4,438.75,1755.0,127874,2023-10-04,2023-11-10,2023-11-24,2023-11-24,2023-12-07,2023-10-13,2023-10-13,2023-10-16,2023-10-16,BONIFICACAO,Novaes TRANSPORTES LTDA,CARTEIRA A PRAZO,1755.0
23,41361,Gomes - EI,43.278.905/0001-30,Dra. Maria Laura Leão,"('28NZFGQ7Z',)",KIT VENTILACAO,10,608.06,6080.6,787133,2024-05-06,2024-05-31,2024-06-06,2024-06-06,2024-06-28,2024-05-14,2024-05-14,2024-05-16,2024-05-16,VENDA,Duarte Montenegro - EI TRANSPORTES LTDA,PIX,6080.6
24,52465,Campos,15.482.730/0001-43,Luísa Mendes,"('28NZFGQ7Z',)",KIT VENTILACAO,4,393.45,1573.8,115987,2024-06-26,2024-08-14,2024-08-17,2024-08-17,2024-09-15,2024-07-03,2024-07-03,2024-07-05,2024-07-05,AMOSTRA,da Luz TRANSPORTES LTDA,TRANSFERENCIA,1573.8
25,65226,Castro S.A.,98.064.521/0001-07,Maria Júlia Aparecida,"('28NZFGQ7Z',)",KIT VENTILACAO,10,445.4,4454.0,446578,2023-11-04,2023-12-08,2023-12-16,2023-12-16,2024-01-08,2023-11-06,2023-11-06,2023-11-09,2023-11-09,AMOSTRA,Cardoso TRANSPORTES LTDA,CARTAO DE CREDITO,4454.0
26,96517,Abreu,39.015.824/0001-70,Eloah Abreu,"('28NZFGQ7Z',)",KIT VENTILACAO,6,768.0,4608.0,181202,2023-07-11,2023-07-20,2023-07-21,2023-07-21,2023-08-11,2023-07-17,2023-07-17,2023-07-21,2023-07-21,AMOSTRA,Campos Novais S/A TRANSPORTES LTDA,TRANSFERENCIA,4608.0
27,87209,Casa Grande,62.037.158/0001-93,Breno Martins,"('28NZFGQ7Z',)",KIT VENTILACAO,8,173.92,1391.36,986050,2023-08-09,2023-09-05,2023-09-14,2023-09-14,2023-09-24,2023-08-13,2023-08-13,2023-08-18,2023-08-18,BONIFICACAO,da Luz TRANSPORTES LTDA,CARTAO DE CREDITO,1391.36
28,15385,Machado Leão Ltda.,82.346.190/0001-68,Júlia Fonseca,"('28NZFGQ7Z',)",KIT VENTILACAO,2,82.65,165.3,555113,2024-05-09,2024-05-31,2024-06-04,2024-06-04,2024-06-12,2024-05-16,2024-05-16,2024-05-17,2024-05-17,DEVOLUCAO,Almeida TRANSPORTES LTDA,CARTEIRA A VISTA,165.3
29,87827,Montenegro,27.109.463/0001-42,Pietra Cirino,"('28NZFGQ7Z',)",KIT VENTILACAO,9,799.78,7198.02,246434,2023-12-16,2024-02-01,2024-02-11,2024-02-11,2024-03-06,2023-12-21,2023-12-21,2023-12-22,2023-12-22,AMOSTRA,Fernandes Lima Ltda. TRANSPORTES LTDA,CARTAO DE CREDITO,7198.02
30,19817,Alves Fogaça S/A,81.964.257/0001-65,Clara Souza,"('28NZFGQ7Z',)",KIT VENTILACAO,3,501.83,1505.49,778709,2023-11-05,2023-12-04,2023-12-19,2023-12-19,2023-12-23,2023-11-11,2023-11-11,2023-11-15,2023-11-15,AMOSTRA,Peixoto TRANSPORTES LTDA,CARTEIRA A VISTA,1505.49
31,20720,Melo,16.783.492/0001-79,Alexia Barbosa,"('28NZFGQ7Z',)",KIT VENTILACAO,6,49.88,299.28,780310,2025-01-28,2025-03-21,2025-03-26,2025-03-26,2025-04-22,2025-02-01,2025-02-01,2025-02-02,2025-02-02,AMOSTRA,Garcia - EI TRANSPORTES LTDA,CARTEIRA A PRAZO,299.28
32,73722,Mendonça Fernandes Ltda.,87.924.506/0001-75,Maria Flor Moreira,"('28NZFGQ7Z',)",KIT VENTILACAO,10,333.33,3333.3,934473,2024-02-19,2024-03-28,2024-04-03,2024-04-03,2024-04-27,2024-02-22,2024-02-22,2024-02-25,2024-02-25,VENDA,Vieira TRANSPORTES LTDA,PIX,3333.3
33,68917,Campos,08.469.153/0001-94,Maria Helena Araújo,"('28NZFGQ7Z',)",KIT VENTILACAO,3,215.63,646.89,942598,2023-12-22,2024-02-11,2024-02-16,2024-02-16,2024-02-16,2023-12-31,2023-12-31,2024-01-05,2024-01-05,AMOSTRA,Lopes S.A. TRANSPORTES LTDA,BOLETO DESCONTADO,646.89
34,24446,Moreira Macedo - ME,37.548.169/0001-90,Raquel Lopes,"('28NZFGQ7Z',)",KIT VENTILACAO,6,688.48,4130.88,991818,2023-11-24,2024-01-15,2024-01-22,2024-01-22,2024-02-01,2023-12-03,2023-12-03,2023-12-05,2023-12-05,VENDA,Sá Teixeira - EI TRANSPORTES LTDA,CARTEIRA A VISTA,4130.88
35,49807,Castro Ltda.,93.016.728/0001-92,Davi Azevedo,"('28NZFGQ7Z',)",KIT VENTILACAO,4,142.94,571.76,305017,2025-06-13,2025-08-09,2025-08-17,2025-08-17,2025-08-24,2025-06-17,2025-06-17,2025-06-18,2025-06-18,VENDA,Leão Nogueira - EI TRANSPORTES LTDA,TRANSFERENCIA,571.76
36,51116,Peixoto,89.741.035/0001-95,Ana Aparecida,"('28NZFGQ7Z',)",KIT VENTILACAO,6,45.99,275.94,110459,2024-01-27,2024-03-22,2024-03-23,2024-03-23,2024-04-21,2024-02-01,2024-02-01,2024-02-03,2024-02-03,AMOSTRA,Vieira TRANSPORTES LTDA,TRANSFERENCIA,275.94
37,72816,Campos e Filhos,46.235.897/0001-33,Alexia Sousa,"('28NZFGQ7Z',)",KIT VENTILACAO,3,632.31,1896.93,612888,2024-05-26,2024-06-05,2024-06-13,2024-06-13,2024-06-22,2024-06-04,2024-06-04,2024-06-08,2024-06-08,AMOSTRA,Cassiano Marques Ltda. TRANSPORTES LTDA,CARTEIRA A VISTA,1896.93
38,37700,Pastor,46.025.198/0001-69,Luiz Gustavo Porto,"('28NZFGQ7Z',)",KIT VENTILACAO,10,736.59,7365.9,321715,2024-07-24,2024-09-09,2024-09-18,2024-09-18,2024-09-30,2024-07-25,2024-07-25,2024-07-29,2024-07-29,DEVOLUCAO,Ramos TRANSPORTES LTDA,CARTEIRA A VISTA,7365.9
39,45468,Jesus Araújo e Filhos,39.641.278/0001-83,Isabella Freitas,"('28NZFGQ7Z',)",KIT VENTILACAO,6,526.95,3161.7,984387,2023-11-27,2023-12-18,2023-12-26,2023-12-26,2024-01-11,2023-12-03,2023-12-03,2023-12-08,2023-12-08,BONIFICACAO,da Mota TRANSPORTES LTDA,BOLETO DESCONTADO,3161.7
40,18328,Andrade,23.618.094/0001-62,Pedro Lucas Andrade,"('28NZFGQ7Z',)",KIT VENTILACAO,3,599.4,1798.2,556253,2025-03-03,2025-04-11,2025-04-12,2025-04-12,2025-05-02,2025-03-13,2025-03-13,2025-03-15,2025-03-15,BONIFICACAO,Cardoso Nunes - ME TRANSPORTES LTDA,BOLETO DESCONTADO,1798.2
41,23749,Souza,27.386.045/0001-00,Erick Pereira,"('28NZFGQ7Z',)",KIT VENTILACAO,8,412.88,3303.04,828201,2024-02-17,2024-03-20,2024-03-28,2024-03-28,2024-03-29,2024-02-25,2024-02-25,2024-03-01,2024-03-01,AMOSTRA,Barbosa TRANSPORTES LTDA,BOLETO DESCONTADO,3303.04
42,36830,da Rosa,30.642.718/0001-42,Isaac Cardoso,"('28NZFGQ7Z',)",KIT VENTILACAO,8,945.14,7561.12,665293,2025-06-26,2025-07-17,2025-07-23,2025-07-23,2025-08-02,2025-07-05,2025-07-05,2025-07-09,2025-07-09,AMOSTRA,Siqueira Siqueira e Filhos TRANSPORTES LTDA,CARTEIRA A PRAZO,7561.12
43,74934,Pacheco S.A.,15.062.379/0001-31,Ana Laura Farias,"('28NZFGQ7Z',)",KIT VENTILACAO,8,22.11,176.88,513033,2024-03-16,2024-04-27,2024-05-09,2024-05-09,2024-05-17,2024-03-18,2024-03-18,2024-03-21,2024-03-21,AMOSTRA,Porto TRANSPORTES LTDA,TRANSFERENCIA,176.88
44,54864,Câmara da Cunha e Filhos,51.270.648/0001-19,Cecília Cunha,"('28NZFGQ7Z',)",KIT VENTILACAO,7,604.13,4228.91,380316,2025-06-02,2025-06-23,2025-07-05,2025-07-05,2025-07-17,2025-06-07,2025-06-07,2025-06-08,2025-06-08,BONIFICACAO,Ramos - ME TRANSPORTES LTDA,BOLETO DESCONTADO,4228.91
45,19817,Alves Fogaça S/A,81.964.257/0001-65,Clara Souza,"('28NZFGQ7Z',)",KIT VENTILACAO,1,308.95,308.95,747365,2025-05-20,2025-06-25,2025-07-02,2025-07-02,2025-07-29,2025-05-22,2025-05-22,2025-05-25,2025-05-25,DEVOLUCAO,Almeida e Filhos TRANSPORTES LTDA,CARTAO DE CREDITO,308.95
46,58940,Siqueira,71.496.258/0001-79,Sra. Pietra Moura,"('28NZFGQ7Z',)",KIT VENTILACAO,2,620.08,1240.16,609624,2023-07-06,2023-09-01,2023-09-01,2023-09-01,2023-09-10,2023-07-11,2023-07-11,2023-07-14,2023-07-14,BONIFICACAO,Siqueira TRANSPORTES LTDA,TRANSFERENCIA,1240.16
47,32458,Costa,29.105.638/0001-79,Dra. Amanda Andrade,"('28NZFGQ7Z',)",KIT VENTILACAO,9,505.98,4553.82,449004,2024-01-11,2024-02-29,2024-03-07,2024-03-07,2024-03-24,2024-01-21,2024-01-21,2024-01-24,2024-01-24,AMOSTRA,Aragão Andrade S.A. TRANSPORTES LTDA,BOLETO DESCONTADO,4553.82
48,22116,Pereira Ferreira Ltda.,74.563.910/0001-19,Manuela Lopes,"('28NZFGQ7Z',)",KIT VENTILACAO,2,530.11,1060.22,909975,2024-07-13,2024-08-12,2024-08-20,2024-08-20,2024-08-25,2024-07-20,2024-07-20,2024-07-22,2024-07-22,DEVOLUCAO,Costela TRANSPORTES LTDA,CARTEIRA A PRAZO,1060.22
49,66665,da Cruz - ME,31.690.254/0001-02,João da Conceição,"('28NZFGQ7Z',)",KIT VENTILACAO,3,114.64,343.92,548965,2024-04-05,2024-05-10,2024-05-15,2024-05-15,2024-05-15,2024-04-11,2024-04-11,2024-04-13,2024-04-13,VENDA,Pastor TRANSPORTES LTDA,TRANSFERENCIA,343.92
50,17551,Guerra - EI,63.182.509/0001-12,Yan Sá,"('28NZFGQ7Z',)",KIT VENTILACAO,2,405.76,811.52,997610,2024-10-09,2024-10-18,2024-11-02,2024-11-02,2024-11-03,2024-10-12,2024-10-12,2024-10-16,2024-10-16,BONIFICACAO,Lopes S.A. TRANSPORTES LTDA,CARTAO DE CREDITO,811.52
51,38944,Dias S.A.,57.692.403/0001-66,Igor Cunha,"('28NZFGQ7Z',)",KIT VENTILACAO,2,293.93,587.86,393329,2023-08-17,2023-09-26,2023-10-07,2023-10-07,2023-10-09,2023-08-19,2023-08-19,2023-08-21,2023-08-21,VENDA,Rezende Jesus - ME TRANSPORTES LTDA,BOLETO DESCONTADO,587.86
52,67097,Marques,82.174.903/0001-53,Lívia Martins,"('28NZFGQ7Z',)",KIT VENTILACAO,1,863.56,863.56,532000,2024-10-08,2024-11-27,2024-12-08,2024-12-08,2024-12-08,2024-10-13,2024-10-13,2024-10-14,2024-10-14,DEVOLUCAO,Sousa - ME TRANSPORTES LTDA,BOLETO DESCONTADO,863.56
53,31162,Santos,65.397.481/0001-66,Alícia Azevedo,"('28NZFGQ7Z',)",KIT VENTILACAO,1,974.69,974.69,185079,2024-10-27,2024-12-05,2024-12-10,2024-12-10,2025-01-03,2024-11-02,2024-11-02,2024-11-05,2024-11-05,VENDA,Sampaio Oliveira - ME TRANSPORTES LTDA,CARTEIRA A VISTA,974.69
54,20034,Cirino,65.782.941/0001-70,Maria Sophia Abreu,"('28NZFGQ7Z',)",KIT VENTILACAO,9,846.23,7616.07,346417,2023-07-30,2023-09-05,2023-09-20,2023-09-20,2023-10-16,2023-08-09,2023-08-09,2023-08-12,2023-08-12,DEVOLUCAO,Machado S/A TRANSPORTES LTDA,CARTEIRA A PRAZO,7616.07
55,75418,Siqueira,23.894.156/0001-69,Benício Albuquerque,"('28NZFGQ7Z',)",KIT VENTILACAO,2,784.36,1568.72,108076,2025-02-25,2025-03-23,2025-03-24,2025-03-24,2025-04-18,2025-03-07,2025-03-07,2025-03-10,2025-03-10,BONIFICACAO,da Luz TRANSPORTES LTDA,CARTEIRA A PRAZO,1568.72
56,53094,da Rocha,27.403.685/0001-73,Raquel da Costa,"('28NZFGQ7Z',)",KIT VENTILACAO,2,887.69,1775.38,636373,2024-04-05,2024-04-19,2024-05-03,2024-05-03,2024-05-06,2024-04-13,2024-04-13,2024-04-16,2024-04-16,BONIFICACAO,Farias TRANSPORTES LTDA,PIX,1775.38
57,70724,Cardoso Ltda.,13.045.796/0001-40,Isis Silva,"('28NZFGQ7Z',)",KIT VENTILACAO,9,242.35,2181.15,783890,2023-09-13,2023-10-16,2023-10-21,2023-10-21,2023-10-26,2023-09-17,2023-09-17,2023-09-18,2023-09-18,BONIFICACAO,Rocha - ME TRANSPORTES LTDA,TRANSFERENCIA,2181.15
58,41140,da Paz,13.698.072/0001-04,João Miguel Costela,"('28NZFGQ7Z',)",KIT VENTILACAO,6,45.04,270.24,217659,2025-01-24,2025-02-07,2025-02-22,2025-02-22,2025-03-02,2025-01-25,2025-01-25,2025-01-27,2025-01-27,AMOSTRA,Casa Grande TRANSPORTES LTDA,CARTEIRA A VISTA,270.24
59,58054,da Luz,14.973.526/0001-62,Dra. Rafaela Leão,"('28NZFGQ7Z',)",KIT VENTILACAO,5,737.36,3686.8,213865,2025-05-01,2025-05-26,2025-06-07,2025-06-07,2025-06-11,2025-05-07,2025-05-07,2025-05-09,2025-05-09,VENDA,Farias Costela - ME TRANSPORTES LTDA,CARTEIRA A VISTA,3686.8
60,44837,Guerra - EI,30.459.762/0001-11,Sra. Maria Alice Pastor,"('28NZFGQ7Z',)",KIT VENTILACAO,4,967.83,3871.32,548221,2025-06-26,2025-07-15,2025-07-26,2025-07-26,2025-08-16,2025-07-05,2025-07-05,2025-07-10,2025-07-10,VENDA,Pires - EI TRANSPORTES LTDA,TRANSFERENCIA,3871.32
61,60293,Alves,32.759.140/0001-34,Cauã Casa Grande,"('28NZFGQ7Z',)",KIT VENTILACAO,7,678.54,4749.78,635238,2024-03-21,2024-04-19,2024-04-27,2024-04-27,2024-05-15,2024-03-22,2024-03-22,2024-03-23,2024-03-23,DEVOLUCAO,Lopes TRANSPORTES LTDA,PIX,4749.78
62,97301,Gomes - EI,17.596.842/0001-50,Léo Silva,"('28NZFGQ7Z',)",KIT VENTILACAO,3,74.39,223.17,860873,2023-10-12,2023-10-26,2023-10-29,2023-10-29,2023-11-16,2023-10-14,2023-10-14,2023-10-19,2023-10-19,DEVOLUCAO,Cavalcanti TRANSPORTES LTDA,BOLETO DESCONTADO,223.17
63,49711,Mendonça,62.817.439/0001-69,Srta. Gabriela Montenegro,"('28NZFGQ7Z',)",KIT VENTILACAO,6,90.42,542.52,101681,2025-05-11,2025-07-06,2025-07-09,2025-07-09,2025-08-06,2025-05-18,2025-05-18,2025-05-20,2025-05-20,VENDA,Fonseca TRANSPORTES LTDA,BOLETO DESCONTADO,542.52
64,17630,Martins,04.682.317/0001-06,Davi Luiz Monteiro,"('28NZFGQ7Z',)",KIT VENTILACAO,9,564.13,5077.17,692709,2024-09-17,2024-10-09,2024-10-16,2024-10-16,2024-10-27,2024-09-22,2024-09-22,2024-09-26,2024-09-26,VENDA,Siqueira - EI TRANSPORTES LTDA,CARTAO DE CREDITO,5077.17
65,70912,Lima,95.413.826/0001-99,Alícia Jesus,"('28NZFGQ7Z',)",KIT VENTILACAO,3,983.58,2950.74,139861,2024-03-22,2024-05-03,2024-05-08,2024-05-08,2024-06-05,2024-03-27,2024-03-27,2024-03-31,2024-03-31,AMOSTRA,Cunha TRANSPORTES LTDA,CARTEIRA A VISTA,2950.74
66,19662,Viana - ME,46.053.821/0001-97,Leonardo da Mota,"('28NZFGQ7Z',)",KIT VENTILACAO,3,411.54,1234.62,608467,2024-11-05,2024-11-29,2024-12-13,2024-12-13,2024-12-21,2024-11-07,2024-11-07,2024-11-09,2024-11-09,VENDA,da Cunha TRANSPORTES LTDA,CARTAO DE CREDITO,1234.62
67,13223,Nogueira Pacheco S.A.,27.189.653/0001-17,Heitor Brito,"('28NZFGQ7Z',)",KIT VENTILACAO,9,642.63,5783.67,996082,2024-06-05,2024-08-02,2024-08-10,2024-08-10,2024-08-16,2024-06-06,2024-06-06,2024-06-08,2024-06-08,VENDA,Ferreira S/A TRANSPORTES LTDA,TRANSFERENCIA,5783.67
68,83087,Pires Barbosa e Filhos,09.425.631/0001-27,Jade Câmara,"('28NZFGQ7Z',)",KIT VENTILACAO,9,637.01,5733.09,259100,2024-04-15,2024-05-09,2024-05-17,2024-05-17,2024-06-01,2024-04-20,2024-04-20,2024-04-24,2024-04-24,BONIFICACAO,Casa Grande da Cruz - ME TRANSPORTES LTDA,CARTAO DE CREDITO,5733.09
69,74044,da Conceição,19.074.628/0001-60,Heloisa Fogaça,"('28NZFGQ7Z',)",KIT VENTILACAO,1,694.71,694.71,285363,2024-03-04,2024-03-20,2024-03-23,2024-03-23,2024-04-15,2024-03-14,2024-03-14,2024-03-19,2024-03-19,AMOSTRA,Cavalcante da Rocha - ME TRANSPORTES LTDA,CARTEIRA A VISTA,694.71
70,82369,Novaes Costela - ME,10.627.953/0001-38,Sr. Benício Lopes,"('28NZFGQ7Z',)",KIT VENTILACAO,2,740.8,1481.6,993672,2024-04-09,2024-05-02,2024-05-15,2024-05-15,2024-06-09,2024-04-15,2024-04-15,2024-04-18,2024-04-18,AMOSTRA,Moreira S.A. TRANSPORTES LTDA,CARTAO DE CREDITO,1481.6
71,64024,Pastor Souza S.A.,95.243.807/0001-61,Dom da Rosa,"('28NZFGQ7Z',)",KIT VENTILACAO,10,555.97,5559.7,164059,2023-08-06,2023-08-21,2023-08-29,2023-08-29,2023-09-21,2023-08-07,2023-08-07,2023-08-08,2023-08-08,BONIFICACAO,Ribeiro - EI TRANSPORTES LTDA,CARTEIRA A VISTA,5559.7
72,80095,Vasconcelos Jesus - ME,90.435.126/0001-81,Manuela Nogueira,"('28NZFGQ7Z',)",KIT VENTILACAO,10,29.84,298.4,425521,2024-06-28,2024-08-20,2024-08-24,2024-08-24,2024-09-16,2024-07-04,2024-07-04,2024-07-09,2024-07-09,BONIFICACAO,da Conceição TRANSPORTES LTDA,PIX,298.4
73,23379,Moraes Pinto e Filhos,45.976.128/0001-23,Luara das Neves,"('28NZFGQ7Z',)",KIT VENTILACAO,6,218.82,1312.92,722762,2024-03-13,2024-04-23,2024-04-29,2024-04-29,2024-05-06,2024-03-18,2024-03-18,2024-03-19,2024-03-19,BONIFICACAO,Cavalcanti S/A TRANSPORTES LTDA,PIX,1312.92
74,20034,Cirino,65.782.941/0001-70,Maria Sophia Abreu,"('28NZFGQ7Z',)",KIT VENTILACAO,6,120.99,725.94,888664,2025-05-22,2025-07-11,2025-07-12,2025-07-12,2025-07-31,2025-05-23,2025-05-23,2025-05-26,2025-05-26,DEVOLUCAO,Dias TRANSPORTES LTDA,CARTAO DE CREDITO,725.94
75,86078,Jesus,75.218.436/0001-50,Maya Brito,"('28NZFGQ7Z',)",KIT VENTILACAO,8,520.5,4164.0,427530,2025-04-22,2025-05-12,2025-05-20,2025-05-20,2025-06-14,2025-04-29,2025-04-29,2025-05-01,2025-05-01,BONIFICACAO,Fernandes Moreira e Filhos TRANSPORTES LTDA,CARTAO DE CREDITO,4164.0
